,238404372821,137237435722
0,"{'name': 'Галина Борисова', 'icon_href': None, 'date': 1685507354.295, 'text': 'Услугами банка пользуюсь несколько лет,без нареканий и проблем. Особенно приятно ,что здесь работают отзывчивые, внимательные и понимающие сотрудники.На днях обратилась для оформления вклада ,общалась с сотрудником Гриценко Александром. Молодой человек оказался вежливым в общении,компетентным в своем деле , достаточно тактичным к клиенту, подробно пояснил все особенности вложений по вкладу, за что я ему особенно признательна и благодарна.!!! К такому сотруднику приятно обратиться и работать с ним. Благодарю Александра за положительные человеческие качества, которые в наши дни присутствуют далеко не у всех.', 'stars': 4}","{'name': 'Сергей', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/32838/xaJKY6SiIAh2dqqZE7pBbPZLWdc-1/islands-68', 'date': 1693819166.594, 'text': 'Часто пользуюсь этим офисом.\nПрофессиональный, доброжелательный персонал, который всегда поможет в решении возникающих проблем. Чистота в помещении офиса, наличие кондиционера, удобный диван для ожидания в электронной очереди.', 'stars': 5}"
1,"{'name': 'Алексей Р.', 'icon_href': None, 'date': 1690653170.088, 'text': 'Очень хороший банк, сотрудники быстро обслуживают, особую благодарность хочу выделить Ратниковой Валерии Викторовне, очень подробно и понятно все объяснила, помогла сориентироваться в предложении, проконсультировала по продуктам банка. Впредь, всегда буду обращаться в это отделение!', 'stars': 5}","{'name': 'Екатерина Заборонок', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/37154/kAvYgxx7GYVtNKBnZkixFrbEDqU-1/islands-68', 'date': 1675883092.393, 'text': 'Прекрасный офис. Недавно стала клиентом банка ВТБ и была приятно удивлена. Сотрудник банка Ахмедова Фариза мне помогла решить много разных нестандартных вопросов. Очень вежливая, приветливая, умная, отзывчивая. Так приятно, когда люди остаются людьми не смотря на статусы и должности. Прошу руководство банка её премировать!!!', 'stars': 5}"
2,"{'name': 'Любовь Кондрашова', 'icon_href': None, 'date': 1693064599.902, 'text': 'Удобно расположенное отделение. Посещала несколько раз. Вежливое обслуживание !!! Решили вопрос с моей картой. Обьяснили все. Проконсультировали. Внимательные сотрудники !!! Здесь работают профессионалы !!!', 'stars': 5}","{'name': 'Е_Елена', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/30431/mA9vxrG9CWlDpijJYtA4EwJ6bE-1/islands-68', 'date': 1683045747.616, 'text': 'Зашла в банк, чтобы закрыть счёт. В итоге потратила на это почти час времени. Менеджер ( девушка не помню её имени, к сожалению)работала ооооочень медленно, умудрялась пока загружалась программа на компьютере, пообщаться в соцсетях абсолютно не заморачивайся, что я сижу напротив. Откровенно жевала, всем своим видом показывая, как ей неинтересна ее работа, да ещё какие то клиенты тут мешают. В общем, впечатление ужасное. Слава богу, что распрощалась с этим банком. Больше сюда ни ногой, особенно в это отделение.', 'stars': 1}"
3,"{'name': 'Марина Балынина', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/44850/wnuL8ehtP2LqZ8vpMWt32LIS4IM-1/islands-68', 'date': 1685279546.045, 'text': 'Консультантов в зале я вообще не увидела, оператор за стойкой приятная девушка, но как представитель банка и представление услуг банка, слабовато, не смогла сориентироваться по вкладам и сейфа м банка, сначала предлагала прочитать, потом очень расплывчато отвечала на вопросы, стало понятно что человек новый либо не владеет информацией. Уважаемая администрация натаскайте своих сотрудников на продукцию банка. Что ваши сотрудники знали четко что банк может предложить клиенту, когда сотрудник быстро и четко отвечает то не приходиться задавать лишние вопросы', 'stars': 4}","{'name': 'Роман Антонов', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/45566/uc8avvZEncNLR1IACMfbeE7nlDg-1/islands-68', 'date': 1696860451.552, 'text': 'Оформил дебетовую карту для определенных целей отдельно от других счетов , взяли прилепили в общий счет , зря время потратил . \nОбъяснил ведь что отдельно для других целей и всё ровно все в кучу )))\nЗря хвалил этот банк , даже чтобы оформить обычную дебетовую карту приходится пройти определенный квэст и не за один раз )\nБардак и наплевательское отношение.', 'stars': 2}"
4,"{'name': 'Галина Головинская', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/51169/1R01wPoM567FPo9jlMnfdrzrY-1/islands-68', 'date': 1675867871.446, 'text': 'Удобное расположение этого офиса, наличие банкоматов с круглосуточным доступом. Бывали здесь неоднократно по разным вопросам. И получение зарплатной карты и оформление кредита. Персонал очень приятный, вежливый и главное грамотный. Всё вопросы решались за одно посещение.', 'stars': 5}","{'name': 'Галина Кутузова', 'icon_href': None, 'date': 1675404926.559, 'text': 'Я новый клиент ВТБ, была всего 3 раза в этом банке. Первые впечатления только положительные! Не попадала на большую очередь, а имеющаяся двигалась нормально. Надо просто иметь терпение, а если некогда, приходите позже или в свой выходной. Вопросы у клиентов разные, со мной, например, тоже не быстро получилось в первый раз. Так ведь и работа по объёму большая была проделана, но без каких-либо не относящихся к работе задержек. Мне с первого раза понравилось, как работает Ахмедова Фируза, сразу виден высокий профессионализм. Да и с клиентоориентированностью у неё все отлично! Именно такой, я полагаю, должен быть сотрудник банка! Все вопросы теперь решаю только с ней. Во время ожидания наблюдала за другими сотрудниками - тоже вполне профессионально и быстро работают и с уважением к клиентам. Молодцы! Так держать!', 'stars': 5}"
5,"{'name': 'Валерия Д.', 'icon_href': None, 'date': 1690649794.492, 'text': 'Хороший банк, сотрудники большие молодцы, всегда помогут, все объяснят. Обслуживание быстрое и на высшем уровне!', 'stars': 5}","{'name': 'Наталия', 'icon_href': None, 'date': 1658540600.47, 'text': 'Очень хороший филиал. Удобное расположение рядом с метро ""Академическая"". Зал ожидания комфортный. Электронная очередь. Персонал вежливый и внимательный. Банкоматы при входе и в зале ожидания. В выходные вход к банкоматам по карте. Рекомендую.', 'stars': 5}"
6,"{'name': 'Наташа Дрозд', 'icon_href': None, 'date': 1682171179.163, 'text': 'Ужасное обслуживание. На работе запросили движение по счетам за 3 предыдущих года. Услышав то, что мне надо, специалист, не знаю, как зовут, высокий седой мужчина, начал громко возмущаться (дословно) "" Этож сколько бумаги?! У нас столько нет! "". В общем, нет бумаги. Нет зарплатного клиента больше. В тот же день обратилась к работодателю и попросила перевести мою зарплату в другой банк. В новом банке проблем с бумагой нет)))', 'stars': 1}","{'name': 'Matsur Shahidi', 'icon_href': None, 'date': 1693818932.207, 'text': 'Спасибо команде отделения банка ВТБ по ул. Дмитрия Ульянова 24.\nОперативно и компетентно решили все возникшие проблемы и ответили на вопросы.', 'stars': 5}"
7,"{'name': 'Ольга С.', 'icon_href': None, 'date': 1688290591.183, 'text': 'Всегда огромные очереди, талончики брать не разрешают, поэтому остаётся только догадываться, сколько еще сидеть в очереди. И специалисты не всегда могут помочь решить проблемы. Последний раз развели руками и сказали, что не знают в чем причина', 'stars': 2}","{'name': 'Антон', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/44850/OWlhY6HiHB0A3EH7Jo72E2RZYc-1/islands-68', 'date': 1684516147.664, 'text': 'Специально пришлось приехать для закрытия счета, но даже после того как все мосты с этим заведением мною были сожжены, банк продолжает усиленно спамить и названивать.', 'stars': 1}"
8,"{'name': 'Андрей', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/43978/KH6vb0oYVgycPMPoOg7SQCKGWps-1/islands-68', 'date': 1697090320.185, 'text': 'Хорошее отделение банка, персонал отличный, приветливый. В августе был там два раза и в очереди не стоял и это отлично, за 15 минут решили все вопросы.', 'stars': 5}","{'name': 'Лариса Букина', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/65952/HllMASoosiRIuYNvgHYRI9Xx8I4-1/islands-68', 'date': 1675694819.854, 'text': 'Быстро и просто это не про ВТБ. В январские праздники даже нельзя было найти время работы и дежурные отделения. Про общение через колл-центр вообще молчу. Сидят ребята, которые сами ничего не знают. Любой вопрос им это +3 минуты ожидания, пока они уточнят...\nВ свое время пользовалась услугами этого банка, но быстро поняла, что лучше бежать оттуда и как можно быстрее, если хочу сохранить свои нервы', 'stars': 2}"
9,"{'name': 'Катрин Леденефф', 'icon_href': None, 'date': 1685438816.441, 'text': 'Доброжелательный персонал.но многие не внимательны. Придя в банк за своими документами, получила документы на имя совершенно не знакомой дамы. А так все быстро', 'stars': 4}","{'name': 'Елена Николаева', 'icon_href': 'https://avatars.mds.yandex.net/get-yapic/60687/ATIEGjGSaMrYOd2QVC0HLh9DHg-1/islands-68', 'date': 1660895201.726, 'text': 'Хожу каждый раз к сотруднику Максиму, фамилию забыла, но помню его в лицо, самый приятный и вежливый сотрудник, открываю через него кредиты, закрываю, консультируюсь только у него, Только из-за перевела зп из сбербанка в ВТБ, есть филиал ВТБ ближе, но хожу специально в этот филиал к Максиму! Не знаю. как отблагодарить сотрудника банка, чтобы у него не было потом проблем (все под камерами же), поэтому пишу хотя бы отзыв! СПАСИБО МАКСИМУ!', 'stars': 5}"
