,0
0,238404372821
1,137237435722
2,1348409326
3,238693841676
4,137237435722
5,122290832632
6,2206757676
7,1156426602
8,137237435722
9,36751182127
10,1422505338
11,1422505338
12,215844956697
13,1349958378
14,189663965209
15,137237435722
16,1073680361
17,1802731966
18,1156426602
19,1117097104
20,137237435722
21,1117097104
22,189663965209
23,51311484203
24,1368139062
25,1624854264
26,154019497489
27,142938842650
28,1134774279
29,118410367881
30,145793351030
31,145793351030
32,1802731966
33,1432013573
34,154354517438
35,1090304853
36,1243081137
37,60132181422
38,119121952644
39,137237435722
40,137237435722
41,128015644028
42,137237435722
43,137237435722
44,1281961787
45,215844956697
46,1377789510
47,1281961787
48,1365092242
49,137237435722
50,154162719984
51,32289656542
52,154162719984
53,1108915440
54,1486115940
55,78334621168
56,154867663938
57,1397223597
58,114281626164
59,1802731966
60,69051694660
61,1802731966
62,1284238895
63,1802731966
64,137237435722
65,1058116075
66,1068286415
67,1397223597
68,1218613928
69,1802731966
70,93440603294
71,176696200464
72,1536220377
73,206866879787
74,1027838939
75,186437166625
76,176696200464
77,1802731966
78,1802731966
79,137237435722
80,1802731966
81,1802731966
82,1070033100
83,65217920821
84,36751182127
85,1057066856
86,137237435722
87,137237435722
88,1157217772
89,1214808353
90,1271730046
91,138051612127
92,137237435722
93,137237435722
94,137237435722
95,1059995666
96,1802731966
97,7128644451
98,1059995666
99,1662536963
100,4591086156
101,137237435722
102,72023112309
103,119121952644
104,1048432589
105,120349263024
106,115970153357
107,1018823642
108,1270083581
109,1394732712
110,137237435722
111,137237435722
112,1099694586
113,1073336641
114,1073336641
115,1073336641
116,1018823642
117,1018823642
118,11536838795
119,137237435722
120,1802731966
121,1086135893
122,27133499164
123,84477596718
124,1420832132
125,1662536963
126,1759951598
127,137237435722
128,1060668956
129,137237435722
130,1081597905
131,137237435722
132,1129311545
133,17802433212
134,29783571280
135,1070842490
136,137237435722
137,1802731966
138,115970153357
139,1802731966
140,1327634980
141,137237435722
142,113869603954
143,1405085351
144,1319804464
145,159633123975
146,29783571280
147,1081597905
148,170430444932
149,137237435722
150,68953039594
151,137237435722
152,1081597905
153,29783571280
154,74709651787
155,1229122030
156,1058066033
157,1494695036
158,137237435722
159,4591086156
160,170430444932
161,137237435722
162,1802731966
163,137237435722
164,130819204134
165,137237435722
166,1503457777
167,1018823642
168,1073336641
169,4591086156
170,236753973078
171,1022363771
172,1133133174
173,104471958017
174,89066541320
175,37012281512
176,58126187224
177,1018823642
178,4591086156
179,25664524981
180,1010681681
181,4986079197
182,5058443569
183,108842531028
184,137237435722
185,29783571280
186,64390405765
187,1099217561
188,112742912522
189,137237435722
190,177929122556
191,4591086156
192,144951184809
193,119250669481
194,144951184809
195,137237435722
196,235337541767
197,1065477601
198,1065477601
199,137237435722
200,137237435722
201,1327391199
202,1099217561
203,21763314314
204,137237435722
205,1017083166
206,1079232532
207,1017083166
208,137237435722
209,1099217561
210,137237435722
211,137237435722
212,137237435722
213,137237435722
214,54780420857
215,137237435722
216,137237435722
217,1437293025
218,1275504150
219,1019185066
220,137237435722
221,137237435722
222,137237435722
223,1403088034
224,137237435722
225,83634203779
226,182810389580
227,54780420857
228,137237435722
229,182810389580
230,137237435722
231,120349263024
232,137237435722
233,1531857223
234,1096076218
235,137237435722
236,1536220377
237,1096076218
238,32980777105
239,1006637277
240,1098414135
241,1096076218
242,120349263024
243,1086957758
244,1768281727
245,150875118372
246,1508412341
247,57803806217
248,129444039948
249,137237435722
250,137237435722
251,1078005708
252,1078005708
253,137237435722
254,1083648833
255,170917020893
256,1492102809
257,150522499805
258,1492102809
259,1062872968
260,13062900424
261,137237435722
262,1062872968
263,1309124474
264,137237435722
265,1161805778
266,137237435722
267,137237435722
268,223601498690
269,171609631901
270,137237435722
271,1316879720
272,7491331763
273,137237435722
274,1059120966
275,18386599764
276,137237435722
277,1363283829
